ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
66,31,8,1804,9,45,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
67,31,8,1804,11,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
68,31,8,1804,13,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
69,1,9,1804,0,30,0,36.7667,-2.8333,0,4.6535,0.309,5.25,2
70,3,9,1804,3,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
71,3,9,1804,5,30,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
72,3,9,1804,9,45,0,36.7667,-2.8333,0,4.6535,0.309,5.25,2
73,4,9,1804,10,0,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
74,5,9,1804,11,45,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
75,5,9,1804,22,0,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
76,7,9,1804,12,30,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
77,9,9,1804,5,30,0,36.7667,-2.8333,0,4.926,0.324,5.25,2
78,13,9,1804,4,30,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
79,13,9,1804,5,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
80,13,9,1804,22,0,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
81,15,9,1804,1,30,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
82,17,9,1804,14,30,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
83,23,9,1804,3,45,0,36.7667,-2.8333,0,4.6535,0.309,5.25,2
84,23,9,1804,4,0,0,36.7667,-2.8333,0,4.1085,0.279,5.25,2
85,30,9,1804,4,30,0,36.7667,-2.8333,0,4.6535,0.309,5.25,2
86,11,12,1804,0,0,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
87,19,12,1818,16,3,0,37.75,-1.6167,0,3.836,0.264,5.25,15
88,20,12,1818,9,45,0,37.75,-1.6167,0,5.1985,0.339,5.25,15
89,2,11,1819,2,0,0,38.7,-0.4667,0,3.836,0.264,5.25,46
90,2,11,1819,4,0,0,38.7,-0.4667,0,4.381,0.294,5.25,46
91,2,11,1819,7,0,0,38.7,-0.4667,0,3.836,0.264,5.25,46
92,8,10,1822,0,0,0,37.9833,-0.6833,0,4.381,0.294,5.25,0
93,10,1,1823,10,0,0,37.9833,-0.6833,0,5.1985,0.339,5.25,0
94,7,6,1827,0,0,0,38.25,-0.8,0,4.381,0.294,5.25,0
95,15,9,1828,5,16,0,38,-0.7,0,5.471,0.354,5.25,1
96,21,3,1829,18,39,0,38.0833,-0.6833,0,6.8335,0.429,5.25,1
97,23,3,1829,20,0,0,38.0833,-0.6833,0,4.926,0.324,5.25,1
98,6,4,1829,0,0,0,38.0833,-0.6833,0,4.381,0.294,5.25,1
99,16,4,1829,19,0,0,38.0833,-0.6833,0,4.6535,0.309,5.25,1
100,18,4,1829,9,45,0,38.0833,-0.6833,0,5.1985,0.339,5.25,1
101,24,4,1829,13,0,0,38.0833,-0.6833,0,4.1085,0.279,5.25,1
102,24,4,1829,13,20,0,38.0833,-0.6833,0,3.5635,0.249,5.25,1
103,1,5,1829,0,15,0,38.0833,-0.6833,0,4.381,0.294,5.25,1
104,16,5,1829,3,0,0,38.0833,-0.6833,0,4.381,0.294,5.25,1
105,19,6,1829,7,0,0,38.0833,-0.6833,0,4.6535,0.309,5.25,1
106,28,6,1829,20,30,0,38.0833,-0.6833,0,4.381,0.294,5.25,1
107,18,7,1829,23,0,0,38.0833,-0.6833,0,4.381,0.294,5.25,1
108,24,7,1829,22,15,0,38.0833,-0.6833,0,4.1085,0.279,5.25,1
109,24,9,1829,11,0,0,38.0833,-0.6833,0,3.5635,0.249,5.25,1
110,1,8,1830,12,2,0,37.9833,-1.1333,0,4.1085,0.279,5.25,0
111,12,7,1831,13,30,0,37.6,-1.3167,0,4.1085,0.279,5.25,0
112,17,4,1833,0,30,0,38,-0.7,0,4.381,0.294,5.25,0
113,4,10,1834,16,0,0,36.8333,-2.4667,0,4.1085,0.279,5.25,0
114,6,10,1834,3,0,0,37.5833,-1,0,3.291,0.234,5.25,0
115,11,11,1834,15,0,0,38.2667,-0.7,0,4.1085,0.279,5.25,0
116,9,1,1836,5,30,0,36.8333,-2.4667,0,3.836,0.264,5.25,0
117,17,5,1836,0,45,0,36.8333,-2.4667,0,3.836,0.264,5.25,0
118,29,8,1837,21,15,0,38.2667,-0.7,0,3.836,0.264,5.25,0
119,31,10,1837,13,58,0,37.9833,-0.6833,0,5.1985,0.339,5.25,0
120,14,6,1838,9,30,0,37.9833,-0.7833,0,3.836,0.264,5.25,72
121,14,6,1838,14,0,0,37.9833,-0.7833,0,4.1085,0.279,5.25,72
122,17,7,1844,13,18,0,37.9833,-0.7833,0,5.1985,0.339,5.25,0
123,22,8,1844,3,30,0,37.9833,-0.7833,0,3.836,0.264,5.25,0
124,28,1,1845,21,19,0,37.9833,-1.1333,0,3.836,0.264,5.25,0
125,2,3,1845,9,0,0,38.35,-0.5,0,3.836,0.264,5.25,0
126,14,4,1845,12,55,0,38.0833,-0.95,0,3.836,0.264,5.25,0
127,29,5,1846,8,0,0,38,-1.1167,0,4.381,0.294,5.25,0
128,4,8,1846,7,45,0,38.2667,-0.7,0,3.836,0.264,5.25,0
129,9,10,1846,22,40,0,38,-1.1167,0,3.836,0.264,5.25,0
130,22,4,1849,0,30,0,38,-1.1167,0,3.836,0.264,5.25,0
131,1,9,1851,14,30,0,38.35,-0.4833,0,3.836,0.264,5.25,0
132,13,10,1851,6,20,0,36.8333,-2.5,0,4.1085,0.279,5.25,0
133,1,7,1853,0,0,0,38.3333,-0.5,0,4.1085,0.279,5.25,0
